HTSUS,Description,Scope Limitations
2933.99.46,"2933.99.46 Aromatic or modified aromatic anti-infective agents of heterocyclic compounds with nitrogen hetero-atom(s) only, nesoi",
2933.99.51,2933.99.51 Hydralazine hydrochloride,
2933.99.53,"2933.99.53 Aromatic or modified aromatic cardiovascular drugs of heterocyclic compounds with nitrogen hetero-atom(s) only, nesoi",
2933.99.55,"2933.99.55 Aromatic or modified aromatic analgesics and certain like affecting chemicals, of heterocyclic compounds with nitrogen hetero-atom(s) only",
2933.99.58,2933.99.58 Droperidol; and Imipramine hydrochloride,
2933.99.61,"2933.99.61 Aromatic or modified aromatic psychotherapeutic agents, affecting the central nervous system, of heterocyclic compounds with nitrogen hetero-atom(s) only, nesoi",
2933.99.65,"2933.99.65 Aromatic or modified aromatic anticonvulsants, hypnotics and sedatives, of heterocyclic compounds with nitrogen hetero-atom(s) only, nesoi",
2933.99.70,"2933.99.70 Aromatic or modified aromatic drugs affecting the central nervous system, of heterocyclic compounds with nitrogen atom(s) only, nesoi",
2933.99.75,"2933.99.75 Aromatic or modified aromatic drugs of heterocyclic compounds with nitrogen hetero-atom(s) only, nesoi",
2933.99.79,2933.99.79 Aromatic or modified aromatic compounds with nitrogen hetero-atom(s) only described in additional U.S. note 3 to section VI of the HTSUS,
2933.99.82,"2933.99.82 Aromatic or mod. aromatic compounds with nitrogen hetero-atom(s) only other than products described in additional U.S. note 3 to section VI of the HTSUS, nesoi",
2933.99.85,"2933.99.85 3-Amino-1,2,4-triazole",
2933.99.89,2933.99.89 Hexamethyleneimine,
2933.99.90,"2933.99.90 Nonaromatic drugs of heterocyclic compounds with nitrogen hetero-atom(s) only, nesoi",
2933.99.97,"2933.99.97 Nonaromatic heterocyclic compounds with nitrogen hetero-atom(s) only, nesoi",
2934.10.10,"2934.10.10 Aromatic or modified aromatic heterocyclic compounds containing an unfused thiazole ring, described in additional U.S. note 3 to section VI of the HTSUS",
2934.10.20,"2934.10.20 Aromatic or modified aromatic heterocyclic compounds, nesoi, containing an unfused thiazole ring",
2934.10.90,2934.10.90 Other compounds (excluding aromatic or modified aromatic) containing an unfused thiazole ring (whether or not hydrogenated) in the structure,
2934.20.40,"2934.20.40 Heterocyclic compounds containing a benzothiazole ring system, not further fused, described in additional U.S. note 3 to section VI of the HTSUS",
2934.20.80,"2934.20.80 Other compounds containing a benzothiazole ring system (whether or not hydrogenated), not further fused",
2934.30.23,"2934.30.23 Antidepressants, tranquilizers and other pschotherapeutic agents containing a phenothiazine ring system, not further fused",
2934.30.27,"2934.30.27 Other drugs containing a phenothiazine ring system (whether or not hydrogenated), not further fused, nesoi",
2934.30.43,"2934.30.43 Products described in additional U.S. note 3 to section VI of the HTSUS containing a phenothiazine ring system (whether or not hydrogenated), not further fused",
2934.30.50,"2934.30.50 Heterocyclic compounds containing a phenothiazine ring- system (whether or not hydrogenated), not further fused, nesoi",
2934.91.00,"2934.91.00 Aminorex (INN), brotizolam (INN), clotiazepam (INN), cloxazolam (INN), dextromoramide (INN), and other specified INNs; salts thereof",
2934.92.00,"2934.92.00 Other fentanyls and their derivatives, containing an unfused thiazole ring",
2934.99.01,2934.99.01 Mycophenolate mofetil,
2934.99.03,2934.99.03 2-Acetylbenzo(b)thiophene; and 2 other specified aromatic or modified aromatic compounds,
2934.99.05,"2934.99.05 5-Amino-3-phenyl-1,2,4-thiadiazole(3-Phenyl-5-amino- 1,2,4-thiadiazole); and 3 other specified aromatic/mod. aromatic heterocyclic compounds",
2934.99.06,"2934.99.06 7-Nitronaphth[1,2]oxadiazole-5-sulfonic acid and its salts",
2934.99.07,2934.99.07 Ethyl 2-[4-[(6-chloro-2- benzoxazoyl)oxy]phenoxy]propanoate (Fenoxaprop- ethyl),
2934.99.08,"2934.99.08 2,5-Diphenyloxazole",
2934.99.09,"2934.99.09 1,2-Benzisothiazolin-3-one",
2934.99.11,"2934.99.11 2-tert-Butyl-4-(2,4-dichloro-5-isopropoxyphenyl)- delta(squared)-1,3,4-oxadiazolin-5-one; Bentazon; Phosalone",
2934.99.12,"2934.99.12 Aromatic or modified aromatic fungicides of other heterocyclic compounds, nesoi",
2934.99.15,"2934.99.15 Aromatic or modified aromatic herbicides of other heterocyclic compounds, nesoi",
2934.99.16,"2934.99.16 Aromatic or modified aromatic insecticides of other heterocyclic compounds, nesoi",
2934.99.18,"2934.99.18 Aromatic or modified aromatic pesticides nesoi, of other heterocyclic compounds, nesoi",
2934.99.20,"2934.99.20 Aromatic or modified aromatic photographic chemicals of other heterocyclic compounds, nesoi",
2934.99.30,"2934.99.30 Aromatic or modified aromatic drugs of other heterocyclic compounds, nesoi",
2934.99.39,2934.99.39 Aromatic or modified aromatic other heterocyclic compounds described in additional U.S. note 3 to section VI of the HTSUS,
2934.99.44,"2934.99.44 Aromatic or modified aromatic other heterocyclic compounds, nesoi",
2934.99.47,"2934.99.47 Nonaromatic drugs of other heterocyclic compounds, nesoi",
2934.99.70,"2934.99.70 Morpholinethyl chloride hydrochloride; 2-methyl-2,5- dioxo-1-oxa-2-phospholan; and 1 other specified nonaromatic chemical",
2934.99.90,"2934.99.90 Nonaromatic other heterocyclic compounds, nesoi",
2935.50.00,2935.50.00 Other perfluorooctane sulfonamides,
2935.90.06,2935.90.06 4-Amino-6-chloro-m-benzenedisulfonamide and Methyl- 4-aminobenzenesulfonylcarbamate (Asulam),
2935.90.10,2935.90.10 2-Amino-N-Ethylbenzenesulfonanilide etc,
2935.90.13,2935.90.13 (5-[2-Chloro-4-(Trifluoromeythyl)phenoxy]-N- (Methylsulfonyl)-2-Nitrobenzamide)(fomesafen); etc,
2935.90.15,2935.90.15 ortho-Toluenesulfonamide,
2935.90.20,2935.90.20 Sulfonamides used as fast color bases and fast color salts,
2935.90.30,2935.90.30 Sulfamethazine,
2935.90.32,"2935.90.32 Acetylsulfisoxazole; Sulfacetamide, sodium; and Sulfamethazine, sodium",
2935.90.33,"2935.90.33 Sulfathiazole and Sulfathiazole, sodium",
2935.90.42,2935.90.42 Salicylazosulfapyridine (Sulfasalazine); Sulfadiazine; Sulfaguanidine; Sulfamerizine; and Sulfapyridine,
2935.90.48,2935.90.48 Other sulfonamides used as anti-infective agents,
2935.90.60,2935.90.60 Other sulfonamide drugs (excluding anti-infective agents),
2935.90.75,"2935.90.75 Other sulfonamides (excluding drugs, etc.) of products described in additional U.S. note 3 to section VI of the HTSUS",
2935.90.95,"2935.90.95 Other sulfonamides, excluding drugs, excluding products described in additional U.S. note 4 to section VI of the HTSUS",
2936.21.00,"2936.21.00 Vitamins A and their derivatives, unmixed, natural or synthesized",
2936.22.00,"2936.22.00 Vitamin B1 (Thiamine) and its derivatives, unmixed, natural or synthesized",
2936.23.00,"2936.23.00 Vitamin B2 (Riboflavin) and its derivatives, unmixed, natural or synthesized",
2936.24.01,"2936.24.01 Vitamin B5 (D- or DL-Pantothenic acid) and its derivatives, unmixed, natural or synthesized",
2936.25.00,"2936.25.00 Vitamin B6 (Pyridoxine and related compounds with Vitamin B6 activity) and its derivatives, unmixed, natural or synthesized",
2936.26.00,"2936.26.00 Vitamin B12 (Cyanocobalamin and related compounds with Vitamin B12 activity) and its derivatives, unmixed, natural or synthesized",
2936.27.00,"2936.27.00 Vitamin C (Ascorbic acid) and its derivatives, unmixed, natural or synthesized",
2936.28.00,"2936.28.00 Vitamin E (Tocopherols and related compounds with Vitamin E activity) and its derivatives, unmixed, natural or synthesized",
2936.29.10,"2936.29.10 Folic acid and its derivatives, unmixed",
2936.29.16,2936.29.16 Niacin and niacinamide,
2936.29.20,"2936.29.20 Aromatic or modified aromatic vitamins and their derivatives, nesoi",
2936.29.50,"2936.29.50 Other vitamins and their derivatives, nesoi",
2936.90.01,"2936.90.01 Vitamins or provitamins (including natural concentrates) and intermixtures of the foregoing, whether or not in any solvent",
2937.11.00,"2937.11.00 Somatotropin, its derivatives and structural analogues",
2937.12.00,2937.12.00 Insulin and its salts,
2937.19.00,"2937.19.00 Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues, nesoi",
2937.21.00,"2937.21.00 Cortisone, hydrocortisone, prednisone (Dehydrocortisone) and prednisolone (Dehydrohydrocortisone)",
2937.22.00,2937.22.00 Halogenated derivatives of corticosteroidal hormones,
2937.23.10,2937.23.10 Estrogens and progestins obtained directly or indirectly from animal or vegetable materials,
2937.23.25,2937.23.25 Estradiol benzoate; and Estradiol cyclopentylpropionate (estradiol cypionate),
2937.23.50,"2937.23.50 Other estrogens and progestins not derived from animal or vegetable materials, nesoi",
2937.29.10,2937.29.10 Desonide; and Nandrolone phenpropionate,
2937.29.90,"2937.29.90 Steroidal hormones, their derivatives and structural analogues, nesoi",
2937.50.00,"2937.50.00 Prostaglandins, thromboxanes and leukotrienes, their derivatives and structural analogues",
2937.90.05,2937.90.05 Epinephrine,
2937.90.10,2937.90.10 Epinephrine hydrochloride,
2937.90.20,"2937.90.20 Catecholamine hormones, their derivatives and structural analogues, nesoi",
2937.90.40,"2937.90.40 l-Thyroxine(Levothyroxine), sodium",
2937.90.45,"2937.90.45 Amino-acid derivatives of hormones and their derivatives, nesoi",
2937.90.90,"2937.90.90 Other hormones, their derivatives and structural analogues, other steroid derivatives and structural analogues used primarily as hormones, nesoi",
2938.10.00,2938.10.00 Rutoside (Rutin) and its derivatives,
2938.90.00,"2938.90.00 Glycosides, natural or synthesized, and their salts, ethers, esters, and other derivatives other than rutoside and its derivatives",
2939.11.00,"2939.11.00 Concentrates of poppy straw; buprenorphine (INN), codeine, dihydrocodeine (INN), ethylmorphine, and other specified INNs; salts thereof",
2939.19.10,2939.19.10 Papaverine and its salts,
2939.19.20,2939.19.20 Synthetic alkaloids of opium and their derivatives; salts thereof; nesoi,
2939.19.50,2939.19.50 Nonsynthetic alkaloids of opium and their derivatives; salts thereof; nesoi,
2939.20.00,"2939.20.00 Alkaloids of cinchona, and their derivatives; salts thereof, other than quinine and its salts",
2939.30.00,2939.30.00 Caffeine and its salts,
2939.41.00,2939.41.00 Ephedrine and its salts,
2939.42.00,2939.42.00 Pseudoephedrine and its salts,
2939.44.00,2939.44.00 Norephedrine & its salts,
2939.45.00,"2939.45.00 Levometamfetamine, metamfetamine (INN), metamfetamine racemate and their salts",
2939.49.03,"2939.49.03 Alkaloids of ephedra and their salts, other than ephedrine, pseudoephedrine, cathine, norephedrine, levometamfetamine and their salts",
2939.59.00,2939.59.00 Theophylline aminophylline (Theophylline- ethylenediamine) and their derivatives; salts thereof; nesoi,
2939.62.00,2939.62.00 Ergotamine and its salts,
2939.63.00,2939.63.00 Lysergic acid and its salts,
2939.69.00,"2939.69.00 Alkaloids of rye ergot and their derivatives, nesoi; salts thereof",
2939.72.00,"2939.72.00 Cocaine, ecgonine; salts, esters and other derivatives thereof",
2939.79.00,"2939.79.00 Vegetable alkaloids, natural or reproduced by synthesis, their salts and other derivatives, nesoi",
2939.80.00,"2939.80.00 Other alkaloids, natural or reproduced by synthesis and their salts, ethers, esters & other derivatives, nesoi",
2940.00.60,"2940.00.60 Other sugars, nesoi excluding d-arabinose",
2941.10.10,2941.10.10 Ampicillin and its salts,
2941.10.20,2941.10.20 Penicillin G salts,
2941.10.30,"2941.10.30 Carfecillin, sodium; cloxacillin, sodium; dicloxacillin, sodium; flucloxacillin (Floxacillin); and oxacillin, sodium",
2941.10.50,"2941.10.50 Penicillins and their derivatives nesoi, with a penicillanic acid structure; salts thereof",
2941.20.10,2941.20.10 Dihydrostreptomycins and its derivatives; salts thereof,
2941.20.50,"2941.20.50 Streptomycins and their derivatives; salts thereof, nesoi",
2941.30.00,2941.30.00 Tetracyclines and their derivatives; salts thereof,
2941.40.00,2941.40.00 Chloramphenicol and their derivatives; salts thereof,
2941.50.00,2941.50.00 Erythromycin and their derivatives; salts thereof,
2941.90.10,"2941.90.10 Natural antibiotics, nesoi",
2941.90.30,"2941.90.30 Antibiotics, nesoi, aromatic or modified aromatic, other than natural",
2941.90.50,"2941.90.50 Antibiotics nesoi, other than aromatic or modified aromatic antibiotics",
2942.00.05,"2942.00.05 Aromatic or modified aromatic drugs of other organic compounds, nesoi",
2942.00.35,2942.00.35 Other aromatic or modified aromatic organic compounds (excluding products described in additional U.S. note 3 to section VI of the HTSUS),
2942.00.50,"2942.00.50 Nonaromatic organic compounds, nesoi",
3001.20.00,3001.20.00 Extracts of glands or other organs or of their secretions for organotherapeutic uses,
3001.90.01,"3001.90.01 Glands and other organs for organotherapeutic uses, dried, whether or not powdered",
3002.12.00,3002.12.00 Antisera and other blood fractions including human blood and fetal bovine serum,
3002.13.00,"3002.13.00 Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",
3002.14.00,"3002.14.00 Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",
3002.15.00,"3002.15.00 Immunological products, put up in measured doses or in forms or packings for retail sale",
3002.41.00,3002.41.00 Vaccines for human medicine,
3002.42.00,3002.42.00 Vaccines for veterinary medicine,
3002.49.00,3002.49.00 Toxins or cultures of micro-organisms (excluding yeasts),
3002.51.00,3002.51.00 Cell therapy products,
3002.59.00,"3002.59.00 Other cell cultures, other than cell therapy products",
3002.90.10,"3002.90.10 Ferments, excluding yeasts",
3002.90.52,"3002.90.52 Human blood; animal blood prepared for therapeutic, prophylactic, diagnostic uses; antisera; antiallergenic preparations nesoi and like products",
3003.10.00,"3003.10.00 Medicaments, containing penicillins or streptomycins, not dosage form and not packed for retail",
3003.20.00,"3003.20.00 Medicaments containing antibiotics, nesoi, not dosage form and not packaged for retail",
3003.39.10,"3003.39.10 Medicaments containing artificial mixtures of natural hormones, but not antibiotics, not dosage form and not packed for retail",
3003.39.50 2937,"3003.39.50 Medicaments containing products of heading 2937, nesoi, but not antibiotics, not dosage form and not packed for retail",
3003.41.00,"3003.41.00 Medicaments containing ephedrine or its salts, not dosage form and not packed for retail",
3003.42.00,"3003.42.00 Medicaments containing pseudoephedrine (INN) or its salts, not dosage form and not packed for retail",
3003.49.00,"3003.49.00 Other medicaments containing alkaloids or derivatives thereof, nesoi, not dosage form and not packed for retail",
3003.90.01 3002 3005 3006,"3003.90.01 Other medicaments excluding goods of headings 3002, 3005 and 3006 consisting of two or more constituents mixed together, not dosage form and not packed for retail",
3004.10.10,"3004.10.10 Medicaments containing penicillin G salts, in dosage form or packed for retail",
3004.10.50,"3004.10.50 Medicaments containing penicillins or streptomycins, nesoi, in dosage form or packed for retail",
3004.20.00,"3004.20.00 Medicaments containing antibiotics, nesoi, in dosage form or packed for retail",
3004.31.00,"3004.31.00 Medicaments containing insulin, in dosage form or packed for retail",
3004.32.00,"3004.32.00 Medicaments containing adrenal cortical hormones, in dosage form or packed for retail",
3004.39.00 2937,"3004.39.00 Medicaments containing products of heading 2937 nesoi, in dosage form or packed for retail",
3004.41.00,"3004.41.00 Medicaments containing ephedrine or its salts, in dosage form or packed for retail",
3004.42.00,"3004.42.00 Medicaments containing pseudoephedrine (INN) or its salts, in dosage form or packed for retail",
3004.49.00,"3004.49.00 Other medicaments containing alkaloids or derivatives thereof, nesoi, in dosage form or packed for retail",
3004.50.10,"3004.50.10 Medicaments containing vitamin B2 synthesized from aromatic or modified aromatic compounds, in dosage form or packed for retail",
3004.50.20,"3004.50.20 Medicaments containing vitamin B12 synthesized from aromatic or modified aromatic compounds, in dosage form or packed for retail",
3004.50.30,"3004.50.30 Medicaments containing vitamin E synthesized from aromatic or modified aromatic compounds, in dosage form or packed for retail",
3004.50.40,"3004.50.40 Medicaments containing vitamins nesoi, synthesized from aromatic or modified aromatic compounds, in dosage form or packed for retail",
3004.50.50 2936,"3004.50.50 Medicaments containing vitamins or other products of heading 2936, nesoi, in dosage form or packed for retail",
3004.60.00,"3004.60.00 Other medicaments containing antimalarial active principles described in subheading note 2 to chapter 30 of the HTSUS, in dosage form and packed for retail",
3004.90.10,"3004.90.10 Medicaments containing antigens or hyaluronic acid or its sodium salt, nesoi, in dosage form or packed for retail",
3004.90.92,"3004.90.92 Medicaments nesoi, in dosage form and packed for retail",
3006.30.10,3006.30.10 Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient; all containing antigens or antisera,
3006.30.50,"3006.30.50 Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient, nesoi",
3006.60.00,3006.60.00 Chemical contraceptive preparations based on hormones or spermicides,
3006.70.00,"3006.70.00 Gel preparations designed to be used in human or veterinary medicine as a lubricant in surgical operation, physical exam or coupling agent between body and medical instrument",
3006.93.10,"3006.93.10 Placebos and blinded clinical trial kits, put up in measured doses, packaged with medicinal preparations",
3006.93.20,"3006.93.20 Placebos and blinded clinical trial kits, put up in measured doses, containing over 10 percent by dry weight of sugar",
3006.93.50,"3006.93.50 Placebos and blinded clinical trial kits, put up in measured doses, containing ingredients having nutritional value",
3006.93.60,"3006.93.60 Placebos and blinded clinical trial kits, put up in measured doses, in liquid form for oral intake",
3006.93.80,"3006.93.80 Placebos and blinded clinical trial kits, put up in measured doses, containing other chemicals other than medicaments",
3102.90.01 3102,"3102.90.01 Mineral or chemical fertilizers, nitrogenous, nesoi, including mixtures not specified elsewhere in heading 3102 Addition",Addition
3104.20.00,3104.20.00 Potassium chloride,
3104.30.00,3104.30.00 Potassium sulfate,
3104.90.01,"3104.90.01 Mineral or chemical fertilizers, potassic, nesoi",
3105.10.00,3105.10.00 Fertilizers of chapter 31 in tablets or similar for,
3105.20.00,"3105.20.00 Mineral or chemical fertilizers nesoi, containing three fertilizing elements",
3105.60.00,"3105.60.00 Mineral or chemical fertilizers nesoi, containing 2 fertilizing elements",
3203.00.80,"3203.00.80 Coloring matter of vegetable or animal origin, nesoi",
3204.13.80,"3204.13.80 Basic dyes and preparations based thereon, nesoi",
3204.17.20,3204.17.20 Copper phthalocyanine ([Phthalocyanato(2-)]copper) not ready for use as a pigment,
3204.18.00,3204.18.00 Carotenoid coloring matters and preparations based thereon,
3206.11.00,3206.11.00 Pigments and preparations based on titanium dioxide containing 80 percent or more by weight of titanium dioxide calculated on the dry weight,
3206.19.00,"3206.19.00 Pigments and preparations based on titanium dioxide, nesoi",
3402.42.10,"3402.42.10 Non-ionic organic surface-active agents, aromatic or modified aromatic",
3402.42.20,"3402.42.20 Fatty substances of animal, vegetable or microbial origin; non-ionic organic surface-active agents, other than aromatic or modified aromatic",
3402.42.90,"3402.42.90 Non-ionic organic surface-active agents, other than fatty substances of animal, vegetable or microbial origin, other than aromatic or modified aromatic",
3606.90.30,3606.90.30 Ferrocerium and other pyrophoric alloys in all forms,
3808.94.10,"3808.94.10 Disinfectants, containing any aromatic or modified aromatic disinfectant",
3808.94.50,"3808.94.50 Disinfectants not subject to subheading note 1 of chapter 38 of the HTSUS, nesoi",
3818.00.00,"3818.00.00 Chemical elements doped for use in electronics, in the form of discs, wafers etc., chemical compounds doped for electronic use",
3824.91.00,3824.91.00 Mixtures consisting mainly of methylphosphonate etc.,
3824.99.29,"3824.99.29 Mixtures containing 5 percent or more by weight of one or more aromatic or modified aromatic substance, nesoi",
3824.99.49,"3824.99.49 Mixtures that are in whole or in part of hydrocarbons derived in whole or in part from petroleum, shale oil or natural gas",
3824.99.55,"3824.99.55 Mixtures of halogenated hydrocarbons, nesoi",
3901.90.90,"3901.90.90 Polymers of ethylene, nesoi, in primary forms, other than elastomeric",
3902.90.00,"3902.90.00 Polymers of propylene or of other olefins, nesoi, in primary forms",
3904.61.00,"3904.61.00 Polytetrafluoroethylene (PTFE), in primary forms",
3905.91.10,"3905.91.10 Copolymers of vinyl esters or other vinyls, in primary forms, containing by weight 50 percent or more of derivatives of vinyl acetate",
3905.99.80,"3905.99.80 Polymers of vinyl esters or other vinyl polymers, in primary forms, nesoi",
3906.90.50,"3906.90.50 Acrylic polymers (except plastics or elastomers), in primary forms, nesoi",
3907.10.00,3907.10.00 Polyacetals in primary forms,
3907.21.00,3907.21.00 Bis(polyoxyethylene) methylphosphonate,
3907.70.00,3907.70.00 Poly(lactic acid),
3908.10.00,"3908.10.00 Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12 in primary form",
3911.90.25,"3911.90.25 Thermoplastic polysulfides, polysulfones and other products specified in note 3 to chapter 39 of the HTSUS, containing aromatic monomer units or derived therefrom",
3911.90.91,"3911.90.91 Polysulfides, polysulfones and other products specified in note 3 to chapter 39 of the HTSUS, nesoi",
3912.31.00,3912.31.00 Carboxymethylcellulose and its salts,
3912.39.00,"3912.39.00 Cellulose ethers, other than carboxymethylcellulose and its salts, in primary forms",
3912.90.00,"3912.90.00 Cellulose and its chemical derivatives nesoi, in primary forms",
3913.90.20,"3913.90.20 Polysaccharides and their derivatives, nesoi, in primary forms",
3913.90.50,"3913.90.50 Natural polymers and modified natural polymers, nesoi, in primary forms",
3914.00.60 3901 3913,"3914.00.60 Ion-exchangers based on polymers of headings 3901 to 3913, in primary forms, nesoi",
4001.10.00,"4001.10.00 Natural rubber latex, whether or not prevulcanized",
4001.21.00,4001.21.00 Natural rubber smoked sheets,
4001.22.00,"4001.22.00 Technically specified natural rubber (TSNR), in primary forms",
4001.29.00,"4001.29.00 Natural rubber in primary forms other than latex, smoked sheets or technically specified natural rubber (TSNR)",
4001.30.00,"4001.30.00 Balata, gutta-percha, guayule, chicle and similar natural rubber gums, in primary forms",
4403.91.00,"4403.91.00 Oak wood in the rough, whether or not stripped of bark or sapwood, or roughly squared, not treated with preservatives",
4403.93.01,"4403.93.01 Beech wood in the rough or roughly squared, the smallest dimension greater than or equal to 15 cm, not treated with preservatives",
4407.93.00,"4407.93.00 Maple wood, sawn or chipped lengthwise, sliced or peeled, over 6 mm thick",
4407.94.00,"4407.94.00 Cherry wood, sawn or chipped lengthwise, sliced or peeled, over 6 mm thick",
4407.95.00,"4407.95.00 Ash wood, sawn or chipped lengthwise, sliced or peeled, over 6 mm thick",
4407.96.00,"4407.96.00 Birch wood, sawn or chipped lengthwise, sliced or peeled, over 6 mm thick",
4407.97.00,"4407.97.00 Poplar and aspen wood, sawn or chipped lengthwise, sliced or peeled, over 6 mm thick",
4407.99.02,"4407.99.02 Nonconiferous wood, nesoi, sawn or chipped lengthwise, sliced or peeled, over 6 mm thick",
4408.10.01,"4408.10.01 Coniferous veneer sheets and sheets for plywood and coniferous wood, sawn lengthwise, sliced or peeled, not over 6 mm thick",
4408.90.01,"4408.90.01 Nontropical nonconiferous veneer sheets and sheets for plywood and other wood, sawn lengthwise, sliced or peeled, not over 6 mm thick",
4409.21.05,"4409.21.05 Nonconiferous wood (bamboo) continuously shaped along any of its ends, whether or not also continuously shaped along any of its edges or faces",
4409.21.90,"4409.21.90 Bamboo, other than continuously shaped along any of its ends",
4703.11.00 2025,"4703.11.00 Unbleached coniferous chemical woodpulp Executive Order 14346 of September 5, 2025",
4703.21.00 2025,"4703.21.00 Semibleached or bleached coniferous chemical woodpulp Executive Order 14346 of September 5, 2025",
4703.29.00 2025,"4703.29.00 Semibleached or bleached nonconiferous chemical woodpulp Executive Order 14346 of September 5, 2025",
4820.20.00,4820.20.00 Exercise books of paper or paperboard,
4901.10.00,"4901.10.00 Printed books, brochures, leaflets and similar printed matter in single sheets, whether or not folded",
4901.91.00,4901.91.00 Printed dictionaries and encyclopedias and serial installments thereof,
4901.99.00,"4901.99.00 Printed books, brochures, leaflets and similar printed matter, other than in single sheets",
4902.10.00,"4902.10.00 Newspapers, journals and periodicals, appearing at least four times a week",
4902.90.10,4902.90.10 Newspaper supplements printed by a gravure process,
4902.90.20,"4902.90.20 Newspapers, journals and periodicals, except those appearing at least four times a week",
4903.00.00,"4903.00.00 Children's picture, drawing or coloring books",
4904.00.00,"4904.00.00 Music, printed or in manuscript, whether or not bound or illustrated",
4905.20.00,"4905.20.00 Maps and hydrographic or similar charts of all kinds, including atlases and topographical plans, printed in book form",
4905.90.20,"4905.90.20 Globes, printed",
4905.90.60,"4905.90.60 Other printed maps and hydrographic or similar charts, not globes and not in book form, nesoi",
4906.00.00,4906.00.00 Hand-drawn original plans and drawings; hand-written texts; photo reproductions on sensitized paper and carbon copies of the foregoing,
4911.10.00,"4911.10.00 Printed trade advertising material, commercial catalogs and the like",
4911.99.60,"4911.99.60 Printed matter, nesoi, printed on paper in whole or in part by a lithographic process",
4911.99.80,"4911.99.80 Printed matter, nesoi",
7106.91.10,7106.91.10 Silver bullion and dore,
7108.11.00 2025,"7108.11.00 Gold, nonmonetary, powder Executive Order 14346 of September 5, 2025",
7108.12.10,"7108.12.10 Gold, nonmonetary, bullion and dore",
7108.12.50 2025,"7108.12.50 Gold, nonmonetary, other unwrought forms, other Executive Order 14346 of September 5, 2025",
7108.13.10 2025,"7108.13.10 Gold, nonmonetary, other semimanufactured forms, gold leaf Executive Order 14346 of September 5, 2025",
7108.13.55 2025,"7108.13.55 Gold, nonmonetary, other semimanufactured forms, rectangular or near rectangular shapes, containing 99.5 percent or more by weight of gold and not otherwise marked or decorated than with weight, purity, or other identifying information Executive Order 14346 of September 5, 2025",
7108.13.70 2025,"7108.13.70 Gold, nonmonetary, other semimanufactured forms, other Executive Order 14346 of September 5, 2025",
7108.20.00 2025,"7108.20.00 Gold, monetary Executive Order 14346 of September 5, 2025",
7110.11.00,"7110.11.00 Platinum, unwrought or in powder form",
7110.19.00,"7110.19.00 Platinum, in semimanufactured forms",
7110.21.00,"7110.21.00 Palladium, unwrought or in powder form",
7110.29.00,"7110.29.00 Palladium, in semimanufactured forms",
7110.31.00,"7110.31.00 Rhodium, unwrought or in powder form",
7110.39.00,"7110.39.00 Rhodium, in semimanufactured forms",
7110.41.00,"7110.41.00 Iridium, osmium and ruthenium, unwrought or in powder form",
7110.49.00,"7110.49.00 Iridium, osmium and ruthenium, in semimanufactured forms",
7112.92.01 8549,"7112.92.01 Platinum waste and scrap, incl. metal clad with platinum, excluding sweepings containing other precious metals, other than goods of electrical and electronic waste covered under heading 8549",
7115.90.05 2025,"7115.90.05 Articles of precious metal, in rectangular or near rectangular shapes, containing 99.5 percent or more by weight of a precious metal and not otherwise marked or decorated than with weight, purity, or other identifying information Executive Order 14346 of September 5, 2025",
7115.90.30 2025,"7115.90.30 Articles of precious metal or of metal clad with precious metal, other articles of gold, including metal clad with gold Executive Order 14346 of September 5, 2025",
7118.90.00,"7118.90.00 Coins, nesoi",
7202.11.10,7202.11.10 Ferromanganese containing by weight more than 2 percent but not more than 4 percent of carbon,
7202.11.50,7202.11.50 Ferromanganese containing by weight more than 4 percent of carbon,
7202.19.10,7202.19.10 Ferromanganese containing by weight not more than 1 percent of carbon,
7202.19.50,7202.19.50 Ferromanganese containing by weight more than 1 percent but not more than 2 percent of carbon,
7202.30.00,7202.30.00 Ferrosilicon manganese,
7202.41.00,7202.41.00 Ferrochromium containing by weight more than 4 percent of carbon,
7202.49.10,7202.49.10 Ferrochromium containing by weight more than 3 percent but not more than 4 percent of carbon,
7202.49.50,7202.49.50 Ferrochromium containing by weight 3 percent or less of carbon,
7202.50.00,7202.50.00 Ferrosilicon chromium,
7202.60.00 2025,"7202.60.00 Ferronickel Executive Order 14346 of September 5, 2025",
7202.80.00,7202.80.00 Ferrotungsten and ferrosilicon tungsten,
7202.91.00,7202.91.00 Ferrotitanium and ferrosilicon titanium,
7202.93.40,7202.93.40 Ferroniobium containing by weight less than 0.02 percent of phosphorus or sulfur or less than 0.4 percent of silicon,
7202.93.80,"7202.93.80 Ferroniobium, nesoi",
7204.21.00,7204.21.00 Stainless steel waste and scrap,
7401.00.00,7401.00.00 Copper mattes; cement copper (precipitated copper),
7402.00.00,7402.00.00 Unrefined copper; copper anodes for electrolytic refining,
7403.11.00,7403.11.00 Refined copper cathodes and sections of cathodes,
7403.12.00,"7403.12.00 Refined copper, wire bars",
7403.13.00,"7403.13.00 Refined copper, billets",
7403.19.00,"7403.19.00 Refined copper, unwrought articles nesoi",
